MENSAJES;POLARIDAD
Al instalar Google Drive se crea una carpeta especifica llamada Google Drive esta carpeta se sincroniza de forma bidireccional con Google Drive en la Web Al mover los archivos a esta carpetas se tiene acceso en cualquier lugar Se realiza cambios en dichos archivos compartir archivos los archivos se almacenan en el equipo local y tambien en la nube los cambios se reflejan tanto en el equipo local como online;positivo
Muy bien Lilian;positivo
Google drive tambien permite crear documentos online y compartirlo con un grupo de personas para que puedan editarlo 1 En el buscador tipear 2 En el sitio web ir dar clic en descargar luego descargar para PC 3 Una vez descargado ejecutarlo y seguir los pasos de instalacion 4 Una vez instalado agregar una cuenta de google 5 En la parte inferior derecha queda el logo de google drive 6 En la carpeta puedes almacenar documentos fotos videos y manipularlos descargarlos desde el sitio web o desde el telefono celular;positivo
Gracias infinitas por su contribucion;positivo
Buenas Tattys le comento que por gmail le he compartido el trabajo colaborativo para usted tambien pueda dar su aporte gracias;positivo
Saludos companeras como ustedes conocen de acuerdo al cronograma del trabajo grupal debemos realizar el trabajo final por tanto sugiero que Tatiana en calidad de Secretaria del Grupo se encargue de recopilar la participacion para elaborar el informe final;positivo
Buenas tardes en la noche reviso toda la informacion y les envio si;positivo
Companeras por favor envieme la informacion para poder realizar el informe final gracias;neutro
Muy bien Tatty asi promoviendo la interaccion;positivo
En el grupo1 designado por la nuestra tutora el rol de secretaria fue designado a la companera Arevalo Tatiana me pueden confirmar esta informacion gracias;positivo
Asi es digame bien dia;positivo
Hola Tatiana te comunico que el documento lo puedes revisar para el informe final que tienes que enviar a la tutora en calidad de secretaria te he compartido el documento por google drive a tu correo electronico de gmail;neutro
saludos cordilaes;positivo
Por favor revisa tu correo electronico de gmail ahi te lo he compartido;neutro
Tambien lo puedes ver aqui en facebook que te lo puse hace unos minutos Que tengas un buen dia;positivo
Por favor seri tan amable de avisar cuando haya realizado el informe final a nuestra tutora gracias;positivo
Buenos dias si yo en la noche reviso y realizo el informe y les reenvio gracias;positivo
Hola companera Tatiana por averiguarle si ya recopilo toda la informacion para que por favor nos reenvie y podamos aportar con nuestras sugerencias Recuerde que la tarea debemos enviar hasta manana;positivo
Buenas tardes hasta de noche ya reenvio companera;positivo
Companeras ayer les reenvie el documento adjuntando todo me confirma si les llego;positivo
Hola companera disculpa a que correo me enviaste porque no tengo ningun documento mis correos son lilianaldaz gmail com o lilianaldaz yahoo es;negativo
entonces es el documento que compartio Mary o sea ahi incluiste nuestras participaciones;positivo
Exacto ahi esta editado;positivo
Hola tatiana te comunico que he revisado mis correos sea de mb37 hotmail it que marlenebuenano66 gmail com pero no he recibo ningun informa final;negativo
Se recuerda el el informe final debe ser elaborado con el aporte de trabajo de las tres participantes no un documento individual Gracias;positivo
Si por favor la companera Tatiana puede agregar su aporte al documento ya trabajado por Lilian y por mi persona el mismo que fue compartido el 15 de julio sea por los canales de google drive como de Facebbok Gracias;positivo
Buenos dias ayer ya se envio el documento final a la profesora gracias;positivo
Hola Tatiana seria tan amable de enviarme tambien a mi el documento final gracias Hasta hoy no ha llegado;neutro
Por favor Tatiana me podria decir con que nombre subio el archivo a google drive Gracias;negativo
Hola Mary espero que ya hayas revisado el informe final envie el documento compartido por gmail Una linda tarde;positivo
Hola Lilian si gracias muy amable de tu parte haberme compartido el informe final;positivo
Exitos para los examenes presenciales;positivo
Estimadas companeras reciban un cordial saludo quiero externarles mis buenos deseos para los exames presenciales que vayan de lo mejor;positivo
Gracias companera igualmente;positivo
Gracias querida Mary de igual manera espero que te vaya super bien en los examenes presenciales muchas bendiciones exitos;positivo
Buenas Noches companeras lo primero que debemos hacer es realizar de manera individual la Practica No 9 del documento Practicas procesador de palabras una vez realizado avisan para proceder con la realizacion de la parte grupal Espero una pronta respuesta ya que tenemos hasta el 5 de Noviembre para hacer la entrega del mismo Saludos Keila Japon;positivo
Nuestro grupo se encuentra integrado por Nardy Yadira Tapia Cando Gabriela Carolina Lapo Orellana Noemy Quezada Keila Japon Tutora Dunia Ines Jara Roa;positivo
Lo primero que debemos es Realizar de manera personal la practica No 9 del documento Practicas procesador de palabras Tenemos hasta el dia de manana para hacer Cualquier duda que tenga me comunican Saludos;neutro
listo ya lo termine jjj;positivo
Q bueno sra Noemy Quezada Esperemos al resto de companeras para poder continuar;positivo
ok gracias por la ayuda si no aun estuviera sin pasar de la primera jjj;positivo
No se preocupe;negativo
buenas noches companeras ya empece a realizar la practica 9;positivo
Ok companera Gaby Carito Lapo Ya que termine comenzaremos con la realizacion de la parte grupal;positivo
esta bien companera Keila aunq debemos esperar a las demas q se integren;positivo
Si companera falta solo una persona ojala responda en estos dias;positivo
Buenas tardes companeras creo q ya es tiempo de hacer la partr grupal Coordinemos el dia y la hora Espero sus comentarios;positivo
Companeras podria ser el dia hlde hoy a las 8 de la noche o el dia sabado en la manana tipo 10;positivo
Yo creo q hoy en la noche podemos reunirnos tipo 8 de la noche;positivo
Ya esta bien que debemos hacer;positivo
Tenemos q escribir el procedimiento para hacer un encabezado y pie de pagina;positivo
Ademas hay q designar una secretaria;negativo
manana en la manana si porfa companeras;neutro
Revisando los pasos que se ha puesto esta claro como debemos insertar un pie de pagina;neutro
si companera estoy deacuerdo;neutro
Tambien estoy de acuerdo companeras;positivo
quedo lindo companera;positivo
Gracias Lo sube;positivo
solo hay que subir uno solo el que hicimos del grupo nada mas;positivo
si solo el q stoy publicando nada mas;neutro
Companeros y profesora buenas noches si ya estamos todos favor empecemos Nuestra lider nos va a dirijir en las actividades a realizarce;positivo
Gracias por la invitacion a unirme al grupo Que les parece si se hace una portada que tenga relacion con el nombre de la asignatura;positivo
si me parece una excelente idea estimada Tutor por favor companeros demos opciones;positivo
Buena idea podria ser la foto de una computadora;positivo
Si es muy buena idea;positivo
Companeros un gusto compartir con ustedes esta actividad Saludos cordiales;positivo
muy buenas noches companeros;positivo
companeros;positivo
Esteban Mil gracias por compartirme su trabajo queda pendiente el trabajo grupal Cordiales saludos Dunia Ines;positivo
Les recuerdo que esta pendiente el trabajo grupal;positivo
Jhonnatan Mil gracias por compartir su trabajo queda pendiente el trabajo grupal Cordiales saludos Dunia Ines;positivo
janela Mil gracias por compartirme su trabajo queda pendiente el trabajo grupal Cordiales saludos Dunia Ines;positivo
Muy bien Ahora si vamos a resolver el ejercicio propuesto;positivo
A mi me parece perfecta la portada que puso Jorge Luis Quezada Jimenez si a eso le agregamos el logo de la UTPL tal vez que dicen;positivo
Aca ya toco cambiar el orden de las casas verde y marfil para poder continuar;neutro
Companero justo a esto me referia El enunciado debe estar mal Porque la casa verde NO PUEDE estar a la derecha de la casa marfil sino a la izquierda Debe ser error de traduccion del puzzle original;negativo
Digo q no puede estar porque llega un momento que ya no podemos continuar y ahi se termina incompleto el puzzle;negativo
Buena acotacion este rato reviso bien a ver que se puede hacer;positivo
No no no No hay q revisar puesto que luego en la siguiente imagen ya cambiaste el orden de ambas casas y ahi ya se pudo continuar;neutro
Pueden haber varias interpretaciones en este enunciado porque dice esta a su derecha y como esta el cuadro estaria correcto esta a la derecha de las 5 casas y a la derecha de la de marfil no es claro el enunciado pero si es interpretable a mi parecer;neutro
Bien William;positivo
Claudio Morales ha colaborado en el album 11 de diciembre de 2018;positivo
Este es mi resolucion del ejercicio planteado cualquier inquietud abro debate tanto para el mio como el de mis companeros;positivo
Me gusto la forma de solucionar el ejercicio Empezo llenando las restricciones en el cuadro y despues hizo las deducciones Parece una forma mucho mas sencillo que como yo lo hice;positivo
Carlos Medina ha colaborado en el album Resolucion ejercicio Carlos Medina;positivo
Buena resolucion Pero aun no entiendo porque cambia la casa verde y marfil de lugar En el orden que expone el ejercicio si se llega a una solucion;neutro
Bueno es solo cuestion de interpretacion Igual se llega a la respuesta;positivo
Buenos dias;positivo
Patricia muy buenos dias con la representacion de grafos cual es la respuesta a la pregunta del puzzle;positivo
Muy buenos dias la respuesta que obtuve en el ejercicio 5 13 es que el agua beben en la casa de color amarilla y la zebra vive en la casa de color verde;positivo
Es la solucion mas novedosa que he visto companera Excelente que haya aplicado los grafos de arbol de busqueda aprendidos en la materia;positivo
Me parece perfecto utilizar grafos de hecho deberia ser asi como se tiene que desarrollar;positivo
Muy bien por el trabajo grupal espero puedan concluir de manera satisfactoria la actividad colaborativa;positivo
Buenas tardes con todos El dia de manana para realizar la segunda parte del deber de IA a las 21 00 Estan todos de acuerdo o sugieren otro horario;positivo
Gracias Patricia su gentileza al convocar a la reunion espero todos le respondan y puedan llevar su conversacion como grupo en Facebook;positivo
Hola companera x favor que sea temprano Manana o tarde esta bien;positivo
Propongan un horario para ver si todos estan de acuerdo;positivo
Les parece a las 17 00;neutro
A esa hora si me parece bien Esperemos el resto de companeros;positivo
Confirmar en el transcurso del dia si ese horario esta bien para todos Por favor notificar este aviso en el grupo de whatssap yo no puedo conectarme a ese chat por problemas con mi celular;negativo
Buenas noches con todos necesitamos definir el horario para realizar la segunda parte del trabajo colaborativo de Inteligencia Artificial Se propuso a las 17 00 del sabado pero necesitamos la confirmacion de todos;positivo
Companeros y tutora segun lo leido en las indicaciones de la tarea para esta semana la actividad es subir nuestra resolucion del ejercicio Yo personalmente lo hice el dia lunes 10 En cada imagen estan los pasos para llegar a la solucion Estimada tutora la subida es en un archivo Word o Excel O en cualquier tipo de documento Yo lo hice en imagenes Saludos;positivo
Carlos muy buenas tardes respecto a su inquietud le comento la solucion de la tarea conjunta puede ser un archivo word;positivo
Dunia Ines Jara Roa Ok gracias estimada;positivo
Claro segun el cronograma esta semana seria la resolucion del ejercicio de todos;positivo
Buenos dias tenemos ya horario para la reunion companeros;positivo
Patricia Ramos buenas tardes la segunda parte de la actividad ya todos la hemos hecho Q es subir nuestra resolucion del ejercicio O necesitamos algo mas;positivo
En el grupo de Facebook cada integrante del grupo debe compartir la solucion del ejercicio subir el archivo de solucion asi mismo debe exponer platicar compartir la forma en que cada uno soluciono el ejercicio 5 13 10 de diciembre al 16 de diciembre;positivo
Faltaria la parte de compartir la forma como cada integrante realizo el ejercicio;positivo
Patricia Ramos en mi publicacion estoy compartiendo la forma de como hacerlo Paso a paso;positivo
Entonces estaria listo lo de esta semana mi preocupacion es que no puedo conectarme al chat en whatssap y no se cuando se van a reunir Por favor companero para no molestar le pido muy comedidamente que publiquen en este chat las fechas de reunion para poder estar presente;negativo
Buenos dias yo lo realice con arbol de busqueda;positivo
Companeros aqui adjunto mi resultado Aplicando la Busqueda con Vuelta Atras;neutro
Christian no observo el adjunto con la solucion del puzzle;negativo
A las personas que aun no han compartido la solucion personal del puzzle es fundamental que lo hagan No observo la solucion de Christian ni la de Claudio por favor me ayudan con esto;negativo
Disculpas Quiza no lo reconocio al archivo excel que adjunte;negativo
Buenas tardes El dia de ayer envie un correo a todos los integrantes del grupo para invitar a la reunion donde se tratara la resolucion del ejercicio 5 13 el mismo que se realizara el dia viernes a las 21 00 Por favor responder el correo para saber si pueden o desean plantear otro horario Hasta el momento solo Carlos ha contestado el mail;positivo
Listo Pienso que aqui vamos a ir viendo como se desarrollo el ejercicio;positivo
Buenas noches companeros como se acordo aqui vamos a hacer un analisis grupal para poder cumplir con el requerimiento de esta semana se analiza la opcion mas acorde a nuestra carrera que es el desarrollo del puzzle por arbol de busqueda Patricia Ramos;positivo
Ahi estamos todos;positivo
Patricia Ramos ahi se etiqueto para que quede constancia;positivo
Como les comentaba yo inicie con los siguientes datos;neutro
para obtener la ubicacion y color de las casas;positivo
y llegue a esto;neutro
De acuerdo se iniciaria ubicando las casas que es la primera referencia que tenemos para de ahi ir complementando las condiciones que nos da;positivo
Uds con que informacion empezaron;neutro
Yo plantee estos escenarios en el orden que ahi indica;positivo
Ordene las sentencias y fui creando tablas de eventos;positivo
Despues de obtener la informacion de la ubicacion y los colores inicie el arbol de busqueda con estos datos;neutro
En la casa amarilla vive un noruego y en la casa roja un ingles en el resto de casas no tenemos esta informacion;neutro
Creo que cada uno planteamos de diversas maneras llegando al mismo resultado el analisis pues era obvio cada uno lo iba a hacer a su manera ya que cada uno pensamos de manera diferente lo importante es que llegamos a una misma solucion creo que en cada una de nuestras publicaciones ponemos un analisis claro de como lo realizamos el orden no altera el producto final como se dice;positivo
Ahora no se si estas ideas y de como se lo hizo lo podemos ir plasmando en un informe o documento que es lo que tambien debemos hacer;neutro
Exacto Al final todos llegamos a la misma respuesta Sinceramente yo no vi el video pero es muy interesante la forma como lo ha realizado la companera;positivo
Yo estuve consultando un poco y encontre un informe en el que podemos basarnos con una introduccion donde definimos el problema el porque llega a ser un ejercicio de inteligencia artificial y donde podemos poner nuestros analisis como grupo e individuales;neutro
Carlos Medina ni yo compnaero no e visto el video talvez hubiese sido mas facil pero bueno ya esta;positivo
El video es muy bueno a mi me ayudo bastante;positivo
Pues terminando el chat lo voy a revisar Gracias por la informacion companera;positivo
Que les parece ir plasmando el informe de esta manera nos serviria de modelo base para ir ajustando a nuestro ejercicio;neutro
Ya que creo que el resultado y resolucion del ejercicio lo tenemos claro individual y coincidimos como grupo;neutro
si me parece buena idea;positivo
Yo inicialmente le di un pasada por cada instruccion Luego otra y asi sucesivamente Evaluando opciones probables y posibles descartando lo que no nos servia y al final llenando cada celda hasta obtener la respuesta;neutro
Carlos Medina Casi lo mismo lo hice yo;neutro
Patricia Ramos Ok como nos organizamos entonces para ir haciendo el informe cuales son sus propuestas;neutro
Jorge nos puede ayudar con el link de ese informe para revisarlo por favor;neutro
Voy a revisar el informe para ver como seguimos avanzando;neutro
Este domingo hay que subir la segunda parte al EVA esto hay que realizarlo de forma individual;positivo
Patricia Ramos Ok pero se debe llevar una agenda de las actividades eso no se si es personal y en grupo o solo del grupo yo envie un modelo pero no respondieron en si quedaba asi ni nada por el estilo asi que portada y agenda no se si quedan de la misma manera los demas companeros no colaboran y eso es un problema en estos trabajos en grupo asi que definamoslo nosotros este momento y los demas pues deberan aceptar por no estar presentes;negativo
Yo le pregunte a la tutora y me dijo que el diario personal era individual;positivo
Patricia Ramos mejor entonces asi tenemos en esta semana el trabajo colaborativo que estamos realizando revisar el informe e ir definiendo como se va a presentar ya el tema de como se resolvio esta mas que claro;neutro
Fijemos fecha para la siguiente semana y ver como podemos avanzar con el informe final;positivo
Patricia Ramos jueves o viernes creo que seria ya que hasta el miercoles van a estar en festejos;positivo
puede ser el viernes a las 21 00;positivo
Patricia Ramos por mi esta bien;positivo
Companeros y si es jueves;positivo
Carlos que opina del horario;neutro
O el viernes mas temprano;neutro
El jueves yo si puedo a las 21 00;positivo
Jorge le parece el jueves a las 21 00;positivo
Si esta bien jueves 21h00;positivo
Listo entonces quedamos en ese horario esperemos que el jueves haya mas participantes;positivo
Listo companeros Asi quedamos entonces;neutro
Gracias companeros por su tiempo que tengan una buena noche;positivo
De acuerdo quedamos el jueves entonces gracias por asistir nos vemos el dia jueves felices fiestas y nos vemos el jueves;positivo
Gracias Feliz Navidad a todos Xauuu;positivo
Ok estamos los que asistimos a la convocatoria y estan etiquetados los demas companeros y tutora por favor empecemos;neutro
Esta semana debemos subir el entregable 2 si no estoy mal a que hora nos conectamos el domingo no se si esta bien tipo 4 o 5 para juntar lo que resolvamos y poder subir con la agenda;neutro
Buen dia esa hora esta bien para mi desde las 4;positivo
Buenas tardes companeros Aqui estoy para resolver juntos el entregable 2;neutro
En resumen la busqueda de algoritmo de arbol nos permite realizar de una forma mas organizada la busqueda que realizamos ya que eliminamos casi desde el principio caminos erroneos como por ejemplo la opcion de que la primera casa o la segunda sean rojas ya se eliminan desde el principio;positivo
Buenas noches con todos;positivo
Buenas noches;positivo
Carlos le parece si empezamos revisando el ejercicio;neutro
Patricia Ramos claro Aunque realmente me parece que Ud es quien deberia indicarnos los pasos para la resolucion por medio de arboles Puesto que yo lo hice de otra manera;negativo
Buenas noches;positivo
Buenas noches Jorge;positivo
Como nos organizamos companeros para dejar plasmado la colaboracion y resoluicion en grupo;neutro
A mi me parece que nuestras propuestas son similares con Carlos el analisis personal algo diferente pero llegamos a un resultado similar;positivo
el de arboles lo definimos en el evento que se programo aunque no colaboraron todos pero en ese creo que deberiamos enfocarnos por obvias razones es de nuestra carrera;neutro
yo lo resolvi con arbol de busqueda basandome en el video que la tutora publico en el EVA;positivo
yo parti con los datos que teniamos mas informacion es decir la ubicacion y el color de las casas;neutro
COmpanera cree un post con los miembros del grupo para interactuar ahi;positivo
Jorge Luis Quezada Jimenez buenos dias Disculpe al decir que creo un post significa que no es aqui donde debemos opinar e interactuar Aqui no lo ve la tutora;negativo
Karen de Blacio Buenas noches se creo otra publicacion donde se etiqueto a cada uno de los companeros y tambien a la tutora para tratar de organizarnos y que quede evidencia de nuestra participacion como grupo;positivo
Jorge Luis Quezada Jimenez gracias companero Si ya me di cuenta y puse mi pequeno aporte tambien;positivo
esta etiquetada la tutora asi queda constancia de la colaboracion y participacion de cada uno con su respectiva invitacion;positivo
Lo siento yo abri una cuenta en facebook por la tarea de IA no se bien las opciones que tiene esta red social no me familiarizo todavia como creo un post;negativo
Patricia Ramos el companero escribio que el creo Solo que le falto la tilde No es que Ud debe crearlo Ya esta creado;neutro
Revisa por favor en las notificaciones ahi te debe aparecer;negativo
Pudiste companera por favor vamos avanzando;neutro
mil disculpas estoy con problemas en el internet la senal es muy mala;negativo
Patricia Ramos Puedes responder a la publicacion donde estan etiquetados todos los miembros y la tutora para empezar el analisis desde ahi;positivo
Buenas noches por favor si empezamos con el analisis del informe;positivo
Patricia Ramos buenas noches companera;positivo
Karen de Blacio buenas noches companera;positivo
Edison David Asto buenas noches companero;positivo
Buenas noches a todos;positivo
Buenas noches Carlos Medina;positivo
Companeros revisaron el modelo de informe que les pase la anterior semana o que sugerencia tienen para hacerlo;positivo
Estaba realizando el ejercicio desarrollando el arbol de busqueda paso a paso;positivo
Patricia Ramos que idea o sugerencia tienes companera para hacer el informe o como nos vamos a organizar;positivo
no revise el informe que ud sugirio;negativo
alguien lo reviso;neutro
donde paso el informe companero;neutro
La anterior semana envie el link y subi unas fotos del modelo que encontre en el post donde interactua mis;positivo
Esta en Excel en una publicacion anterior Revisen el grupo companeros;neutro
Entonces q es lo que vamos a analizar hoy o como vamos a avanzar que es lo que debemos hacer para seguir avanzando;positivo
Yo si revise companero Y pues pienso que si debe ser ese el modelo de agenda Es el mismo al que te refieres;neutro
Carlos Medina la Agenda no companero porque menciono Patricia Ramos que eso es individual que ella consulto con la tutora Dunia Ines Jara Roa;neutro
Carlos Medina nosotros debemos presentar un informe grupal de la resolucion y analisis de lo que entendi de la tarea donde debemos senalar que se termino y enviarlo a la tutora y publicarlo por eso habia subido unas fotos y les pase el link del que considero que podria ser un modelo para el que debemos elaborar;neutro
Ok entiendo;neutro
Es el grafico del abol de busqueda;positivo
Karen de Blacio son 2 cosas El arbol de busqueda y la agenda que se compartio;neutro
Companeros recuerden que esta tarea es grupal y deben revisar las publicaciones que se hacen en el mismo Nuestra carrera es tecnologica y no deberia ser complicado;negativo
Elaborar en equipo el documento a entregar en donde se presente la solucion del ejercicio 5 13 El documento debe ser compartido en Google Drive 24 de diciembre al 30 de diciembre;positivo
eso es para esta semana;neutro
Esto les habia compartido y el link;neutro
Por favor puede compartir nuevamente el link;neutro
Estoy desde el celular y ese enlace lo tengo en la laptop y no encuentro en los comentarios donde les comparti la anterior semana;negativo
Me toca reenviarles manana al medio dia q regreso de viaje;neutro
Pero etiquetenos companero para poder verlo;neutro
O envie por correo;positivo
Si porfa companero Jorge Luis Quezada Jimenez publicalo nuevamente y no lo encuentro en el grupo;negativo
Lo que debemos subir hasta el domingo 30 ya es el informe con el ejercicio;positivo
Manana se los reenvio pero a mas tardar el sabado deberiamos entonces subir los aportes ya por el tiempo para eso era que debiamos reunirnos desde la anterior semana no es mi responsabilidad companeros el estarles buscando o enviando enlaces y pidiendo que interactuen solo 3 personas hemos tratado de hacer las cosas asi que colaboren tambien un poco mas y revisando como menciono Carlos Medina;negativo
Patricia Ramos usted companera va a crear el link de Google drive o como vamos a canalizar la informacion para el informe porque menciona que la secretaria del grupo debe subirlo y mas adelante notificar la culminacion de la tarea a la tutora;neutro
Lo importante es tener el informe lo otro ya es lo de menos;positivo
Patricia Ramos usted va a crear el correo para el Google drive companera para ahi enviar los aportes;positivo
para manana tengo creado el correo;neutro
Patricia Ramos ok usted nos va a enviar el correo para poder acceder y compartir el informe para de ahi sacar uno solo entonces;positivo
Patricia Ramos para que entonces confirmen el correo personal y el de la universidad y enviarselo a la tutora tambien;positivo
Patricia Ramos mi correo por favor es leojhoel hotmail com y jlquezada utpl edu ec;positivo
entonces cada integrante va a subir su aporte;positivo
Patricia Ramos yo propuse que se envie nuestro aporte al drive Maximo hasta el sabado para reunirnos analizar y sacar uno solo como grupo no se que opinen los demas;positivo
Yo creo que si cada uno sube es la unica forma de que todos aportemos y trabajemos;positivo
Patricia Ramos ok por favor para que nos ayude enviando el correo para acceder al drive y publicarlo pero por favor enviarlo tambien a la tutora;neutro
ahora voy a realizarlo y manana en el transcurso del dia les aviso;positivo
Patricia Ramos ok gracias;positivo
voy a utilizar los correos que me enviaron en este chat y los que la tutora envio en el grupo que ella conformo;neutro
Patricia Ramos si esta bien;positivo
Solo tres personas han logrado coordinar dira Pero el resto no es que no hemos hecho nada yo he estado pendiente y he estado insistiendo en que nos reunamos desde antes y nadie contestaba;negativo
Si tiene mi correo companero Es kespinoza2009 gmail com;neutro
Aqui esta la publicacion Revisen que en los comentarios esta a lo que se refiere Jorge Luis Quezada Jimenez;positivo
Carlos puede publicar en este chat el link del informe que menciona Jorge por favor;neutro
