MENSAJES;POLARIDAD
clar segun cronogram seman seri resolucion ejercici;positivo
buen dias horari reunion companer;positivo
patrici ram buen tard segund part activ hech q sub resolucion ejercici necesit mas;positivo
grup facebook cad integr grup deb compart solucion ejercici sub archiv solucion asi mism deb expon platic compart form cad solucion ejercici 513 10 diciembr 16 diciembr;positivo
faltari part compart form cad integr realiz ejercici;positivo
patrici ram publicacion compart form hac el pas pas;positivo
entonc estari list seman preocupacion pod conect yo chat whatssap van reun favor companer molest ped comedid publiqu chat fech reunion pod present;positivo
buen dias realiz arbol busqued;positivo
companer aqui adjunt result aplic busqued vuelt atra;positivo
christi observ adjunt solucion puzzl;negativo
person aun compart solucion personal puzzl fundamental hac observ solucion christi claudi favor ayud;negativo
disculp quiz reconoci archiv excel adjunt;positivo
buen tard dia ayer envi corre integr grup invit reunion trat resolucion ejercici 513 mism realizar dia viern 2100 favor respond corre sab si pod des plant horari moment sol carl contest mail;positivo
list pens aqui ir ir viend desarroll ejercici;positivo
buen noch companer acord aqui ir hac analisis grupal pod cumpl requer seman analiz opcion mas acord carrer desarroll puzzl arbol busqued patrici ram;positivo
ahi;neutro
patrici ram ahi etiquet qued constanci;positivo
coment inici siguient dat;positivo
obten ubicacion color cas;positivo
lleg;positivo
acuerd iniciari ubic cas primer referent ahi ir complement condicion dar;positivo
uds informacion empez;positivo
plant escenari orden ahi indic;positivo
orden sentenci cre tabl event;positivo
despu obten informacion ubicacion color inici arbol busqued dat;positivo
cas amarill viv norueg cas roj ingles rest cas informacion;positivo
cre cad plant divers maner lleg mism result analisis pues obvi cad ir hac maner cad pens maner diferent import lleg mism solucion cre cad public pon analisis clar realiz orden alter product final dec;positivo
ahor si ide hac pod ir plasm inform document tambi deb hac;positivo
exact final lleg mism respuest sincer ver vide interes form realiz companer;positivo
consult encontr inform pod basarn introduccion definim problem lleg ser ejercici inteligent artificial pod pon analisis grup individual;positivo
carl medin compnaer vist vide talvez ser mas facil buen;positivo
vide buen ayud bastant;positivo
pues termin chat voy revis graci informacion companer;positivo
parec ir plasm inform maner serviri model bas ir ajust ejercici;positivo
cre result resolucion ejercici clar individual coincid grup;positivo
si parec buen ide;positivo
inicial di pas cad instruccion lueg asi suces evalu opcion probabl posibl descart servi final llen cad celd obten respuest;positivo
carl medin casi mism hac;positivo
patrici ram ok organiz entonc ir hac inform cual propuest;positivo
jorg pued ayud link inform revis el favor;positivo
voy revis inform ver segu avanz;positivo
doming sub segund part eva realiz el form individual;positivo
patrici ram ok deb llev agend activ si personal grup sol grup envi model respond si qued asi estil asi port agend si qued mism maner dem companer colabor problem trabaj grup asi definamosl moment dem pues deber acept present;positivo
pregunt tutor dec diari personal individual;positivo
patrici ram mejor entonc asi seman trabaj colabor realiz revis inform ir defin va present tem resolvi mas clar;positivo
fij fech siguient seman ver pod avanz inform final;positivo
patrici ram juev viern cre seri miercol van festej;positivo
pued ser viern 2100;neutro
patrici ram bien;positivo
companer si juev;neutro
carl opin horari;neutro
viern mas tempran;neutro
juev si pod 2100;positivo
jorg parec juev 2100;positivo
si bien juev 21h00;positivo
list entonc qued horari esper juev mas particip;positivo
list companer asi qued entonc;positivo
graci companer tiemp buen noch;positivo
acuerd qued juev entonc graci asist ver dia juev felic fiest ver juev;positivo
graci feliz navid xauuu;positivo
ok asist convocatori estar etiquet dem companer tutor favor empec;positivo
seman deb sub entreg 2 si mal hor conectam doming si bien tip 4 5 junt resolvam pod sub agend;positivo
buen dia hor bien 4;positivo
buen tard companer aqui resolv junt entreg 2;positivo
resum busqued algoritm arbol permit realiz form mas organiz busqued realiz elimin casi principi camin errone ejempl opcion primer cas segund roj elimin principi;positivo
buen noch;positivo
buen noch;positivo
carl parec si empez revis ejercici;positivo
patrici ram clar aunqu realment parec ud deberi indicarn pas resolucion medi arbol puest hac maner;positivo
buen noch;positivo
buen noch jorg;positivo
organiz companer dej plasm colaboracion resoluicion grup;positivo
parec propuest simil carl analisis personal diferent lleg result simil;positivo
arbol definim event program aunqu colabor cre deberi enfocarn obvi razon carrer;positivo
resolvi arbol busqued bas vide tutor public eva;positivo
parti dat teni mas informacion dec ubicacion color cas;positivo
companer cre post miembr grup interactu ahi;positivo
jorg luis quez jimenez buen dias disculp dec cre post signific aqui deb opin interactu aqui ver tutor;positivo
kar blaci buen noch cre publicacion etiquet cad companer tambi tutor trat organizarn qued evident participacion grup;positivo
jorg luis quez jimenez graci companer si di cuent pus pequen aport tambi;positivo
etiquet tutor asi qued constanci colaboracion participacion cad respect invitacion;positivo
sent abri cuent facebook tare ia bien opcion red social familiariz todavi cre post;positivo
patrici ram companer escribi cre sol falt tild ud deb cre el cre;positivo
revis favor notif ahi deb aparec;positivo
pod companer favor ir avanz;positivo
mil disculp problem internet senal mal;negativo
patrici ram pued respond publicacion estar etiquet miembr tutor empez analisis ahi;positivo
buen noch favor si empez analisis inform;positivo
patrici ram buen noch companer;positivo
kar blaci buen noch companer;positivo
edison dav asto buen noch companer;positivo
buen noch;positivo
buen noch carl medin;positivo
companer revis model inform pas anterior seman sugerent hac el;positivo
realiz ejercici desarroll arbol busqued pas pas;positivo
patrici ram ide sugerent companer hac inform ir organiz;positivo
revis inform ud sugiri;negativo
algui revis;positivo
pas inform companer;positivo
anterior seman envi link subi uno fot model encontr post interactu;positivo
excel publicacion anterior revis grup companer;positivo
entonc q ir analiz hoy ir avanz deb hac segu avanz;positivo
si revis companer pues pens si deb ser model agend mism refi;positivo
carl medin agend companer mencion patrici ram individual consult tutor duni in jar roa;positivo
carl medin deb present inform grupal resolucion analisis entendi tare deb senal termin envi el tutor public el habi sub uno fot pas link consider podri ser model deb elabor;positivo
ok entend;positivo
grafic abol busqued;positivo
kar blaci 2 cos arbol busqued agend comparti;positivo
companer recuerd tare grupal deb revis public hac mism carrer tecnolog deberi ser complic;positivo
elabor equip document entreg present solucion ejercici 513 document deb ser compart googl driv 24 diciembr 30 diciembr;positivo
seman;positivo
habi compart link;positivo
favor pued compart nuev link;positivo
celul enlac laptop encuentr comentari comparti anterior seman;positivo
toc reenviarl manan medi dia q regres viaj;positivo
etiqueten companer pod ver el;positivo
envi corre;positivo
si porf companer jorg luis quez jimenez publical nuev encuentr grup;positivo
deb sub doming 30 inform ejercici;positivo
manan reenvi mas tard sab deberi entonc sub aport tiemp debi reunirn anterior seman respons companer estarl busc envi enlac ped interactu sol 3 person trat hac cos asi colabor tambi mas revis mencion carl medin;positivo
patrici ram usted companer va cre link googl driv ir canaliz informacion inform mencion secretari grup deb sub el mas adel notific culminacion tare tutor;positivo
import ten inform men;positivo
patrici ram usted va cre corre googl driv companer ahi envi aport;positivo
manan cre corre;positivo
patrici ram ok usted va envi corre pod acced compart inform ahi sac sol entonc;positivo
patrici ram entonc confirm corre personal univers envi tutor tambi;positivo
patrici ram corre favor leojhoelhotmailcom jlquezadautpleduec;positivo
entonc cad integr va sub aport;positivo
patrici ram propus envi aport driv maxim sab reunirn analiz sac sol grup opin dem;positivo
cre si cad sub unic form aportem trabaj;positivo
patrici ram ok favor ayud envi corre acced driv public el favor envi el tambi tutor;positivo
ahor voy realiz el manan transcurs dia avis;positivo
patrici ram ok graci;positivo
voy utiliz corre envi chat tutor envi grup conform;positivo
patrici ram si bien;positivo
sol tres person logr coordin dir rest hech pendient insist reunam nadi contest;positivo
si corre companer kespinoza2009gmailcom;positivo
aqui publicacion revis comentari refer jorg luis quez jimenez;positivo
carl pued public chat link inform mencion jorg favor;positivo
patrici companer referi publicacion comentari dentr link q publiqu indic 50 comentari toc busc ahi;positivo
mil disculp busqu encontr pedi link;positivo
patrici ram link sol publicacion comentari sol pued envi captur pantall;positivo
companer manan transcurs dia companer patrici ram compartir enlac googl driv pod sub aport solicit agreg tutor duni in jar roa evalu aport favor sub maxim sab medi dia asi podern reun mas tard sac inform grup favor defin hor graci;positivo
estim companer enes direccion sol ver fot algoritm arbol podri envi companer jorg luis quez jimenez corre kespinoza2009gmailcom favor;positivo
kar blaci deb revis publicacion dentr comentari;positivo
cas cad hac inform envi corre;positivo
jorg pued envi link inform ud propon mail favor;positivo
patrici ram pus arrib comentari pod reenvi manan medi dia mas men lleg quit xq laptop enlac conect celul;positivo
jorg luis quez jimenez graci companer mientr voy segu busc link;positivo
envi corre much graci;positivo
pod defin hor reun sab x favor;positivo
entonc dia sab reun 2100 sac inform grupal;positivo
patrici ram ser posibl 8 ver si avanz aprovech tiemp sin demor demasi respond sacam ningun provech hoy ejempl llev mas hor avanz;negativo
entonc sab 2000;positivo
estar acuerd;positivo
si favor entonc sab medi dia sub aport googl driv 8 revis sac inform grupal;positivo
buen companer graci tiemp ver dia sab;positivo
patrici ram sab entonc;positivo
sab;positivo
patrici ram graci compart enlac googl driv part envi archiv cualqui inquietud hac sab salud;positivo
hoy 21h00 recuerd acord revis ir elabor inform;positivo
buen noch companer;positivo
buen noch;positivo
buen noch companer;positivo
salud companer;positivo
buen noch;positivo
buen tard acab enviarl part inform medi corre respond email envi companer patrici ram enviandon enlac googl driv acord debi envi aport hoy medi dia analiz el noch sol ver aport companer sol reenvi analisis individual ide plante reunion grup sin debi envi va qued inform cumpl requer tare deb cumpl dia manan favor indic si va hab deb colaboracion ayud apoy continu tare favor dec vez van realiz pas mas tiemp esper dem colabor quit demasi tiemp hac perd pacienci esper sab entend busc colabor desesper part pretend pon miembr grup hech hac cas preferiri sub inform individual present agend lid grup indic senal aport cad indic si aport perd demasi tiemp poc trat cumpl solicit tare graci;positivo
realment desaparec dias lei envi patrici ok val dic transcurs noch revis envi mio salud;negativo
buen noch post revis aport envi googl driv defin inform final va realiz ser elaboracion;positivo
buen noch present;positivo
buen noch x favor pod confirm si subi aport googl driv qued si revis dem;positivo
subi archiv 1830;positivo
buen noch;positivo
sig trabaj aqui reunion;positivo
acab sub aport hac 15 minut;positivo
analiz aport companer;positivo
buen entonc qued cuant inform va present va realiz;positivo
companer jorg luis quez jimenez usted sub aport;negativo
kar blaci envi email pod sub direct archiv envi hoy 5 15 tard;positivo
inform const carpet googl driv podi sub teni acces cuent anterior outlook reestableci ahor sub anterior envi via email pod revis el;positivo
apart analisis deberi inclu diari inform;negativo
diari llev form individual;positivo
revis ver jorg coloc introduccion tem;positivo
inform aun termin introduccion definicion formal problem pued utiliz inteligent artificial desarroll;negativo
ejercici deb desarroll el arbol busqued;positivo
deb desarroll arbol busqued deb determin agent deb demostr probabil posibl descart med van ejecut sentenci indic ejercici 513 unic final plasm el algoritm;positivo
ejercici variabl domini restriccion;positivo
acuerd deb demostr inform manual lleg solucion cad hech medi variabl domini restriccion pued plant resolv inteligent artificial ahi entrar arbol busqued ide dentr inform plasm colaboracion cad analisis lleg conclusion final vendri ser arbol busqued analisis opinion;positivo
resolvi ejercici utiliz variabl domini restriccion;positivo
utiliz arbol busqued vuelt atra lleg respuest;positivo
acuerd explicacion clar inform total entend ahor hac present grup usted unic person realiz metod;positivo
inform envi vez termin demuestr manual junt analisis determin aplic inteligent artificial;positivo
inform pod coloc teori ejercici resuelt form manual resolucion mediant ia;positivo
final conclusion;positivo
condicion pon tutor tare dec elabor equip document entreg deb present dia manan sub el googl driv va hac;positivo
moment analiz trat defin sol usted rest companer estar conect asist convocatori carl medin indic sub aport noch rest subi aport analisis individual compart;negativo
inform final va nombr person colabor corre envi tutor indic detall ir pon nombr person sab si estar acuerd hac colabor;positivo
companer stress permit ver aport dem calmes analiz palabr tambi aqui;negativo
estres si molest person colabor habl person nunc hech present;negativo
trabaj inventari salg 2300 manan ingres 700 aqui;positivo
kar blaci companer pidi analic tempran aprovech tiemp tambi activ oblig realiz esper dign respond usted escribi hac 30 minut despu pon final conclusion ok graci requer mas colabor cuant ir hac cre companer patrici ram quier hac inform sol men ir organiz armad inform hor va sub qued carg pod hac cad entend colaboracion si estres hor conect dem apoy mas uqe respet;negativo
si verd companer patrici ram acuerd usted companer jorg pas repet sol usted colabor ver sol usted mas aport;negativo
kar blaci si elabor grup subi port cre grup whattsap envi convocatori cre event asist aport dar trabaj redact inform inform sol sub resolucion ejercici nivel superior parend norm apa respond trat coordin trabaj equip usted respond 30 minut repit repit;negativo
companer discutam favor;positivo
patrici ram companer voy trat termin mas pront redaccion inform pas corre revis inclu mejor deb hac pod present googl driv analisis discusion mism correspond siguient seman tambi trabaj negoci famili atend buen noch;positivo
propong si kar pued ayud armar inform tocari unir jorg mio;positivo
gust companer;positivo
manan pued envi corre maxim 12 medi dia;positivo
pod revis;positivo
si ahor mism pon hac;positivo
jorg acuerd;positivo
concluy favor esper respuest jorg;positivo
si acuerd;positivo
list entonc envi archiv word kar pued edit inclu falt inclu caratul;positivo
kar segu conect;positivo
patrici ram archiv word sub googl driv pued edit;positivo
subi document word;positivo
ok entonc informacion dispon buen noch;positivo
kar archiv estar enlac googl driv word pued edit apen termin subal carpet compart envi corre avis pod revis maxim medi dia favor;positivo
buen dia list subi aport driv envi igual corre companer patrici ram;positivo
salud;positivo
buen dias;positivo
seman deb revis inform sub googl driv segun activ asign;positivo
parec reunirn sab 2000;neutro
patrici ram acuerd;positivo
graci carl;positivo
si;positivo
graci kar respond;positivo
buen noch;positivo
buen senor retir nadi present;negativo
patrici ram aqui post antigu;positivo
deberi cre nuev convoc;positivo
buen noch mil disculp aun trabaj patrici ram x reci conect;positivo
salud companer;positivo
adjunt archiv;neutro
hol companer ejercici bien especific caid cuent respuest olvid restriccion 6 norueg viv lad cas azul;positivo
hol sergi graci infinit invitacion;positivo
gust cont presenci estim docent;positivo
buen tard gust unir yo grup encuentr resolucion document;positivo
buen noch hoy reci integr grup sincer hac entend hac aport sobr trabaj gustari sab entreg favor ayudenm;positivo
salud companer excelent aport ver ejercici bien especific;positivo
comp pregunt respuest utiliz palabr color refer el cas seri mejor utiliz cas ser mas clar ahi consider excelent trabaj;positivo
comp solucion propon dec pas 2 restriccion 1 sab ubic ingles color cas roj cas medi beb lech pued ayud indic;positivo
excelent aport companer cuant observacion companer apart ser buen sab sol objet referim pod asign el cualqui nombr relacion diferent diferent mental razon ser unic irreemplazabl;positivo
hol companer excelent aport creativ organigram;positivo
graci companer si ver falt detall mas fond conten estari bien ahi;positivo
buen dias bien trabaj cre import clar variabl domini restriccion facilit ir constru tabl valor indic relacion variabl;positivo
salud estim companer voy compart form hac solucion ejercici;positivo
bien sergi import defin clar restriccion puzzl;positivo
estim companer compart solucion problem;positivo
salud companer excelent aport dud dec cas verd inmediat derech derech cas color marfil refer derech cas color marfil;positivo
consider si especific derech derech ahi clav dec derech refer derech cas verd primer instanci pus primer marfil derech cas verd lueg analiz detall asum cas verd va primer lueg derech va cas marfil;positivo
companer prob pon cas verd primer lueg marfil mas adel coincidi cre voy reintent dec derech pareceri primer efect va cas verd;positivo
si companer palabr derech confusion esper comentari estim docent;positivo
tambi gener confusion motiv analisis dec inmediat derech derech cas color marfil ahor si dec inmediat derech cas color marfil tendriam clar derech marfil moment dec derech derech entend derech cas color verd entonc quedari primer marfil lueg verd ahor consider val aunqu respuest qued primer verd lueg marfil dec companer;positivo
item indistint coloc el primer cas verd color marfil result mism;positivo
luis bas afirm;positivo
problem interpretacion fras derech entonc prob vari solucion obten mism result ingenier pens pued ser indistint orden cas punt si final obten result correct;positivo
juan carl graci compart tare inquietud si representacion restriccion entonc respuest pregunt puzzl representacion utiliz;positivo
buen noch utiliz tabl valor acuerd restriccion agreg cad camp valor indic lleg solucion zebr viv japon beb agu cas norueg;positivo
salud estim companer propong tem discusion llev acab seman propong siguient respuest invit dej comentari punt vist definicion domin variabl restriccion adem invit particip for dispon 23 diciembr;positivo
olvid dej comentari graci;positivo
sergi graci solucion compart seri import conoc criteri dem integr equip lleg contest pregunt plant puzledond viv zebr cas beb agu;positivo
estim sergi excelent aport much graci preocupacion entend codificacion favor podri describ yo enn palabr lin;positivo
primer cas viv norueg norueg viv cas azul kools fum cas amarill kools fum cas caball cas amarill zorr aqui beb agu entonc realiz proces restriccion hac negacion cumpl solicit produc vuelt atra regres lug cumpl form correct restriccion agreg siguient restriccion ubic objet instanci establec form cumpl requer;positivo
hac uso algoritm resolv mad facil consider deb identific defin restriccion usted hech;positivo
interes solucion aunqu prob per segur dar solucion primer deb realiz defin variabl ir trabaj personal podri prob traduc restriccion numer llev vez hech traduccion cad variabl podr tom valor 0 4 cas;positivo
companer continuacion compart part analiz ejercici trat encontr respuest;positivo
graci elvis observ dec companer;positivo
companer consider tod solucion propuest correct deb cumpl hech cuestion punt cas verd inmediat derech derech cas color marfil deb dar par interpret personal independient posicion coloc cas verd marfil lleg mism solucion pens usted;positivo
salud companer si acuerd solucion correct dar mism cambi posicion cas verd marfil sol restriccion deb tom cuent respet cas marfil derech si sol si verd izquierd;positivo
companer interrog deb busc form dar el explicacion mas satisfactori coincid correct;positivo
graci companer sub solucion trabaj colabor falt nombr particip;positivo
companer buen noch ultim seman entreg diari final favor analic respuest pod realiz sol document part grup 2;positivo
comaner buen noch hoy entreg formulari autoevaluacion coevaluacion diari personal 3er entreg entreg final correct pagin fech maxim hoy correct adem dentr formulari autoevaluacion aparec element evalu hac referent entreg result equip;positivo
asi sub formulari hoy;positivo
entonc comenc comp;positivo
pregunt 1 cre lleg mism respuest;positivo
asi comp;positivo
sab si compart respuest pregunt 2;positivo
entend sab si respond sub respuest men si hac;positivo
hac sugerent men 3;positivo
si hac hab cit algun fuent bibliograf;positivo
pas alto;positivo
si revis respuest coincid respuest;positivo
si tambi revis mayori list sab si;positivo
parec;neutro
consider mas correct graci;positivo
parec si complet nombr archiv googl driv;positivo
clar hac estar grup;positivo
parec mas just;neutro
driv compart pod modific;positivo
comp trat sub coevaluacion aparec mensaj coloc aqui evalu realiz cad integr grup consider coevaluacion cad formulari diferent sol archiv;positivo
entend coevaluacion evaluacion cad integr grup separ pued mism archiv si evaluacion hac cad companer cas usted grup;positivo
